Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP117655	1499	0.992	392.33	26.173%	87.972	15.507%	0.0732	0.991
Biliary-AdenoCA::SP117556	802	1.0	79.335	9.892%	12.1	3.106%	0.03134	1.0
Biliary-AdenoCA::SP117627	457	0.995	98.795	21.618%	18.96	10.217%	0.0787	0.995
Biliary-AdenoCA::SP117775	1011	0.996	199.368	19.72%	34.961	9.359%	0.05474	0.996
Biliary-AdenoCA::SP117332	155	0.963	68.877	44.437%	11.792	28.575%	0.25297	0.956
Biliary-AdenoCA::SP117712	529	0.982	150.188	28.391%	29.065	19.645%	0.09086	0.978
Biliary-AdenoCA::SP117017	387	0.995	99.473	25.704%	16.908	10.04%	0.11053	0.995
Biliary-AdenoCA::SP117031	965	0.999	127.037	13.164%	19.673	4.229%	0.04833	0.999
Biliary-AdenoCA::SP117759	1568	0.998	258.275	16.472%	56.943	8.236%	0.0463	0.998
Biliary-AdenoCA::SP117621	875	0.998	126.198	14.423%	19.165	5.807%	0.05222	0.998
Biliary-AdenoCA::SP117425	597	0.987	172.806	28.946%	31.297	16.909%	0.11773	0.985
Biliary-AdenoCA::SP117930	1682	0.999	202.992	12.068%	35.565	3.963%	0.03434	0.999
Biliary-AdenoCA::SP99287	167	0.983	62.447	37.393%	10.236	18.888%	0.20354	0.981
Biliary-AdenoCA::SP99293	317	0.943	117.744	37.143%	25.242	34.164%	0.15595	0.928
Biliary-AdenoCA::SP99289	728	0.976	189.25	25.996%	39.55	21.733%	0.08185	0.97
Biliary-AdenoCA::SP99297	23	0.672	23.227	100.987%	5.625	75.847%	1.06519	0.621
Biliary-AdenoCA::SP99301	1282	0.992	372.138	29.028%	97.583	15.869%	0.10787	0.992
Biliary-AdenoCA::SP99305	268	0.986	87.735	32.737%	15.445	20.336%	0.12578	0.984
Biliary-AdenoCA::SP99309	495	0.996	108.74	21.968%	19.312	9.644%	0.08113	0.995
Biliary-AdenoCA::SP99313	544	0.949	163.031	29.969%	43.873	31.712%	0.08388	0.936
Biliary-AdenoCA::SP99317	39	0.631	34.99	89.718%	8.602	78.2%	0.93987	0.543
Biliary-AdenoCA::SP99321	248	0.987	84.902	34.235%	14.339	16.04%	0.19613	0.986
Biliary-AdenoCA::SP99325	129378	1.0	4108.287	3.175%	1069.429	1.321%	1000.0	1.0
Biliary-AdenoCA::SP99329	521	0.942	172.123	33.037%	48.53	33.442%	0.08017	0.932
Biliary-AdenoCA::SP99333	253	0.989	90.523	35.78%	17.148	16.835%	0.18499	0.989
Biliary-AdenoCA::SP99337	444	0.998	101.597	22.882%	17.707	8.277%	0.08969	0.997
Biliary-AdenoCA::SP99341	335	0.995	97.18	29.009%	17.648	11.613%	0.12254	0.994
Biliary-AdenoCA::SP99345	56	0.914	33.986	60.689%	6.04	41.097%	0.39883	0.896
Biliary-AdenoCA::SP99113	79	0.842	48.181	60.989%	10.184	53.899%	0.39002	0.795
Biliary-AdenoCA::SP99185	435	0.942	168.841	38.814%	33.365	33.661%	0.13712	0.924
