#chrom	start	end	cn	start_refined	end_refined
chr7	105224001	130154599	2.3272108201766892	False	True
chr7	130154600	130258199	0.020640884613927404	True	True
chr7	130258200	142048199	2.5117713000735096	True	True
chr7	142048200	142099199	0.4247834224895205	True	True
chr7	142099200	142276099	3.0004068504013315	True	True
chr7	142276100	142326099	0.12384530768356442	True	True
chr7	142326100	143345499	2.5060872849455964	True	True
chr7	143345500	143411499	0.26125177627289753	True	True
chr7	143411500	143903899	2.6497987452910534	True	True
chr7	143903900	144068599	4.5519632010907545	True	True
chr7	144068600	148714000	2.596615032204336	True	False
