Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Biliary-AdenoCA::SP117655	1499	0.985	371.389	24.776%	99.583	17.554%	0.091	0.983
Biliary-AdenoCA::SP117556	802	0.986	322.826	40.253%	118.807	30.494%	0.11156	0.989
Biliary-AdenoCA::SP117627	457	0.993	129.299	28.293%	30.591	16.484%	0.08858	0.994
Biliary-AdenoCA::SP117775	1011	0.995	209.192	20.692%	39.053	10.455%	0.06044	0.994
Biliary-AdenoCA::SP117332	155	0.944	87.958	56.747%	21.038	50.98%	0.3013	0.943
Biliary-AdenoCA::SP117712	529	0.965	205.391	38.826%	61.806	41.775%	0.12649	0.965
Biliary-AdenoCA::SP117017	387	0.988	138.634	35.823%	36.388	21.606%	0.12897	0.989
Biliary-AdenoCA::SP117031	965	0.985	413.252	42.824%	140.326	30.165%	0.13251	0.988
Biliary-AdenoCA::SP117759	1568	0.994	456.5	29.114%	131.507	19.021%	0.079	0.995
Biliary-AdenoCA::SP117621	875	0.997	167.059	19.092%	31.341	9.496%	0.06059	0.997
Biliary-AdenoCA::SP117425	597	0.981	210.175	35.205%	49.271	26.62%	0.13207	0.98
Biliary-AdenoCA::SP117930	1682	0.978	899.603	53.484%	337.665	37.629%	0.18591	0.982
Biliary-AdenoCA::SP99287	167	0.966	78.477	46.992%	16.414	30.287%	0.23537	0.963
Biliary-AdenoCA::SP99293	317	0.853	202.093	63.752%	63.828	86.388%	0.30001	0.844
Biliary-AdenoCA::SP99289	728	0.895	360.039	49.456%	129.127	70.957%	0.18387	0.889
Biliary-AdenoCA::SP99297	23	0.649	24.971	108.57%	6.627	89.358%	1.09842	0.608
Biliary-AdenoCA::SP99301	1282	0.992	412.623	32.186%	122.1	19.856%	0.11221	0.992
Biliary-AdenoCA::SP99305	268	0.979	101.464	37.86%	27.385	36.058%	0.14677	0.981
Biliary-AdenoCA::SP99309	495	0.992	153.856	31.082%	31.724	15.842%	0.11486	0.992
Biliary-AdenoCA::SP99313	544	0.643	414.784	76.247%	153.813	111.179%	0.44229	0.597
Biliary-AdenoCA::SP99317	39	0.443	44.152	113.21%	13.823	125.664%	1.17794	0.373
Biliary-AdenoCA::SP99321	248	0.987	83.134	33.522%	14.254	15.944%	0.19827	0.986
Biliary-AdenoCA::SP99325	129378	1.0	7116.337	5.5%	2431.355	3.003%	0.00373	1.0
Biliary-AdenoCA::SP99329	521	0.313	521.135	100.026%	200.037	137.845%	0.8908	0.222
Biliary-AdenoCA::SP99333	253	0.984	90.129	35.624%	19.553	19.196%	0.17312	0.984
Biliary-AdenoCA::SP99337	444	0.983	201.994	45.494%	63.247	29.566%	0.15047	0.985
Biliary-AdenoCA::SP99341	335	0.984	133.028	39.71%	39.015	25.674%	0.14908	0.984
Biliary-AdenoCA::SP99345	56	0.795	46.625	83.259%	12.827	87.277%	0.70909	0.774
Biliary-AdenoCA::SP99113	79	0.33	86.935	110.044%	28.17	149.091%	0.89629	0.222
Biliary-AdenoCA::SP99185	435	0.674	310.901	71.471%	118.529	119.58%	0.38035	0.634
